1. What is your age ?,,,2.   What is your gender ?,,,3.  What is your current occupation ?,,, 4. What is the location of your current residence ?,,,5. How many years have you been working in your current position ?,,5. How many years have you been working in your current position ? [Feedback], 6. What is your average weekly working hours ?,, 6. What is your average weekly working hours ? [Feedback],7.  Does BHU provide accommodation/rooms for you as an employee ?,,,8.  Do you engage in any form of physical activity ?,,8.  Do you engage in any form of physical activity ? [Feedback],"9.  If yes , please specify the types of physical activity you engage in ",,"9.  If yes , please specify the types of physical activity you engage in  [Feedback]",,,PSS SCORE ,stress level ,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [1.  In the last month , how often have you been upset because of something that happened unexpectedly ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [2.  In the last month , how often have you felt that you were unable to control the important things in your life ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [3.  In the last month , how often have you felt nervous and stressed ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [4.  In the last month , how often have you felt confident about your ability to handle your personal problems ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [5.  In the last month , how often have you  felt that things were going your way ? ]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [6.  In the last month , how often have you found that you could not cope with all the things that you had to do ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [7.  In the last month , how often have you been able to control irritations in your life ]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [8.  In the last month , how often have you felt that you were on top of things ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [9.  In the last month , how often have you been angered because of things that happened that were outside of your control ?]",,"For each question choose  from the following alternatives 

0-Never , 1- Almost never , 2- Sometimes , 3-Fairly often , 4-Very often  [10.In the last month , how often have you felt difficulties were pilling up so high that you could not overcome them ?]"
48,,,Male,,,Teaching,,,Urban,,,3-5 years,,,30 -35 hours,,,Yes,,,Yes,,,Running;Gym workouts;Team sports,,,,,23,MODERATE ,0,,1,,4,,1,,2,,0,,1,,2,,0,,4
45,,,Female,,,Teaching,,,Urban,,,6-10 years,,,Less than 25 hours,,,No,,,no ,,,Walking,,,,,22,MODERATE ,0,,1,,1,,2,,3,,2,,3,,1,,2,,2
Less than 30,,,Male,,,Teaching,,,Urban,,,3-5 years,,,30 -35 hours,,,Yes,,,Yes,,,Running,,,,,9,LOW,1,,2,,2,,3,,2,,3,,1,,2,,1,,3
more than 50,,,Male,,,Teaching,,,Rural,,,more than 10 years,,,30 -35 hours,,,Yes,,,Yes,,,Walking,,,,,18,MODERATE ,1,,2,,3,,2,,3,,2,,3,,4,,3,,2
30-40,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,35-40 hours,,,Yes,,,Yes,,,Walking;Yoga,,,,,7,LOW,2,,2,,2,,2,,3,,1,,3,,3,,2,,3
Less than 30,,,Female,,,Non- teaching,,,Rural,,,Less than 1 year,,,30 -35 hours,,,Yes,,,Yes,,,Walking,,,,,19,MODERATE ,0,,4,,4,,4,,4,,1,,4,,4,,4,,2
Less than 30,,,Female,,,Non- teaching,,,Rural,,,Less than 1 year,,,35-40 hours,,,Yes,,,Yes,,,Walking,,,,,28,HIGH,2,,1,,2,,3,,2,,2,,2,,0,,1,,2
Less than 30,,,Female,,,Teaching,,,Rural,,,Less than 1 year,,,Less than 25 hours,,,No,,,No,,,Yoga,,,,,17,MODERATE ,1,,1,,2,,2,,1,,1,,1,,1,,1,,0
40-50,,,Male,,,Teaching,,,Rural,,,6-10 years,,,25-30 hours,,,Yes,,,No,,,,,,,,20,MODERATE ,1,,2,,1,,3,,3,,2,,1,,2,,3,,0
40-50,,,Male,,,Teaching,,,Urban,,,more than 10 years,,,25-30 hours,,,Yes,,,Yes,,,Yoga,,,,,19,MODERATE ,1,,2,,0,,3,,4,,2,,0,,2,,1,,0
40-50,,,Male,,,Teaching,,,Rural,,,3-5 years,,,Less than 25 hours,,,No,,,Yes,,,Running;Team sports,,,,,18,MODERATE ,0,,1,,0,,1,,0,,1,,1,,0,,1,,1
